I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason. I also understand that my data will be treated confidentially and any publication resulting from this work will report only data that does not identify me.,What is your age?,In what country do you work?,What is your self-identified sex?,What would you describe as your current occupation?,Other (please specify),"Are you currently in academia (as a researcher, advisor, student, etc.)? If you are a practicing psychologist (e.g. educational, clinical) or training to be one, please select ""Practicing psychologist"".",PhD or Doctorate student,Postdoctoral researcher,Assistant lecturer/Research associate,Lecturer/Assistant professor,Senior lecturer/Associate professor,Reader/Professor,Professor/Distinguished professor,Trainee practicing psychologist,Practicing psychologist,Other (please specify),Have you left academia (including your practicing psychology course/profession) or are considering leaving it?,You believe the stress of the job is too high,You want a better work-life balance,"You have experienced frustration/despair at uncertainty of how much of the literature is true due to QRP's, publication bias, etc.",You are intimidated by the culture of criticism,You have experienced workplace bullying/harassment,You believe the pay is too low,You have been (in your view) harshly criticized because of your work,You have experienced frustration/despair due to being unable to replicate other scientist's published studies,You do not believe the rewards/incentives to stay are great enough or are too delayed,You do not feel the work you are performing is a benefit to society,You do not feel the field is progressing,You dislike the lack of control over your location,You dislike the large amount of effort required to gain funding,Other (please specify and state how relevant it is),"Thank you for participating in this survey. If you have any questions or comments, please don't hesitate to contact me at psychbrief@gmail.com or write in the box below."
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female ,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,3,4,2,3,3,1,4,3,2,1,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female8,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,1,3,1,1,1,2,1,1,3,4,2,3,1,Lack of impact,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,1,1,2,2,1,3,1,2,1,1,1,1,2,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,0,0,2,1,3,1,2,3,3,1,2,2,The workplace politics around reseach and promotion highly relevant,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Life sciences,,No,,Postdoctoral researcher,,,,,,,,,Left,4,5,3,4,1,2,1,1,3,2,1,4,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,1,5,1,1,3,1,4,3,1,3,1,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,f,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,5,2,3,1,2,1,1,2,1,1,4,5,"so many jobs are short term, cannot plan life when do not know whether income will continue or where will be living",
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,1,1,3,4,4,1,5,5,5,5,5,"The lack of job security, no contract is over 18 months long",
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,2,2,2,5,1,1,2,1,1,1,2,2,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Female,Other (please specify),PhD student and researcher in medical and computer sciences,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,3,2,2,1,4,1,1,3,3,3,3,3,"Highly relevant: job insecurity, short term contracts",
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,2,2,3,2,1,2,1,2,3,3,3,1,2,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Practicing psychologist,PhD or Doctorate student,,,,,,,Trainee practicing psychologist,,,Considering leaving,5,5,5,3,2,3,2,3,4,1,2,5,5,"It does not feel that the funders value true science, therefore good science does not necessarily obtain good funding and career progression (ext relevant)",
Yes,40-49,Belgium,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,1,1,1,1,1,1,1,1,1,1,1,1,1,Not considering leaving,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,fwmale,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,Research Assistant,Considering leaving,5,5,3,4,5,4,4,2,5,4,3,5,5,"fixed term contracts with lack of job security make having a life and family hard. Being a woman in this environment is also difficult because of extra discrimination re: children, reliability and age",
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,2,1,1,1,1,2,1,2,1,1,3,1,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,Male,Teaching,,No,,,,Lecturer/Assistant professor,,,,,,,Left,4,1,1,2,1,1,2,1,3,1,1,1,5,Lack of recognition of teaching,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,4,4,2,2,1,4,1,1,3,1,2,2,3,Difficult to find decent job that fit around family life - highly relevant,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,1,2,2,2,1,1,1,1,1,2,1,2,1,couldn't get a visa on short term contracts - extremely relevant,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Industry,,No,,,,Lecturer/Assistant professor,,,,,,,Left,5,5,1,4,2,2,2,1,4,1,1,4,5,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Prefer not to answer,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,4,4,3,2,1,4,2,2,3,2,2,2,4,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,Female ,Psychological science,,Yes,,,,,,,Professor/Distinguished professor,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,1,1,1,2,1,1,3,2,3,2,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,F,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,Associate Tutor,Currently in but planning on leaving,2,2,1,2,1,2,1,1,5,1,1,1,4,HE is moving towards a ponzi scheme model that benefits no one but those at the top,
Yes,21-29,United States of America,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,4,5,4,1,4,4,4,4,4,3,4,5,My career is taking me away from the parts of research that I enjoy (working with participants) and towards what I dislike (writing grants and papers). Highly Relevant,
Yes,40-49,United States of America,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,2,2,1,1,1,4,1,1,3,2,4,1,5,,What's a QRP?
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,3,5,5,1,3,1,2,4,3,1,2,2,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,3,3,2,4,1,2,5,1,1,3,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,5,1,2,1,2,1,1,1,2,1,5,4,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,2,3,1,1,2,2,2,2,2,2,5,,I believe that academia involves an extremely high level of stress. 
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Life sciences,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,4,1,3,1,4,1,3,3,1,1,4,3,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,5,3,3,2,5,2,1,4,1,2,5,5,,
Yes,21-29,Ireland,male,Industry,,No,,,,,,,,,,Research Assistant,Left,5,4,5,4,2,4,2,4,5,3,4,5,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Man,Psychological science,,Yes,PhD or Doctorate student,,Assistant lecturer/Research associate,,,,,,,,Currently in but planning on leaving,4,4,2,3,1,3,2,1,4,5,2,4,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,2,1,2,3,3,1,3,2,3,3,2,1,1,The time taken to publish work. And the constant delay/lack of ability to meet deadlines within academia ,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female ,Psychological science,,Yes,,,,,,,,,,MSc Student ,Considering leaving,1,2,3,1,1,1,3,1,1,1,1,1,3,"Uni Environment is becoming too PC, I want to study sex differences scientifically however no science seems to be getting more press and respect and I don't feel this will benefit anyone in the long run.  If I can't contribute as I believe and as science shows then I'm not sure I want to continue ",
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,f,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,2,2,2,1,1,1,3,1,2,5,5,4,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,2,2,2,3,1,2,1,2,4,3,3,3,4,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,male,Teaching,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Considering leaving,3,1,3,5,5,3,2,1,4,1,3,2,4,Psychology has become a female-dominated / PC field. 'Controversial' views on gender differences or gender equality programmes are not tolerated.,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,2,3,3,4,1,3,2,4,3,2,2,2,3,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Teaching,,Yes,,,,,,,,,,Teaching Fellow,Considered in the past whether to leave but have (currently) chosen to stay,5,5,3,4,1,1,3,3,4,2,4,5,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,5,3,2,2,1,1,1,4,1,1,1,2,I don't fit in. My political views are different to the majority and I am not allowed to voice them. There is no free speech unless you agree with them. This is my main reason for leaving.,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,3,4,1,1,5,1,1,5,4,4,4,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,M,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,3,4,3,1,1,3,1,1,1,1,3,2,1,"Planning to stay, but would consider moving to non-academic research positions because of work-life balance, and perhaps easier access to securing a job, since academic competition is too high and might not be worth taking the risk, also when taking into account the situation in universities now.",
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,female,Life sciences,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Considering leaving,5,3,5,4,2,2,4,2,4,2,4,2,3,it has an impact on my mental health,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Life sciences,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,1,4,1,2,4,4,1,1,3,1,1,4,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Self-employed,,Practicing psychologist,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,5,2,2,4,4,4,4,1,5,3,3,3,4,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female. ,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,4,1,1,3,1,1,3,3,4,4,3,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Planning on staying,5,5,3,2,1,5,2,1,3,1,2,2,5,"planning on staying, but have sometimes considered leaving. wasn't sure if i should fill this in",
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,4,1,2,1,3,2,2,4,2,1,5,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,5,5,5,4,4,4,5,3,4,2,5,,
Yes,60 or older,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,No,,,,,Senior lecturer/Associate professor,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,5,2,2,5,5,1,1,5,3,3,5,4,Lack of progression ,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,5,5,5,4,4,2,3,2,2,3,2,2,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,4,4,4,5,2,2,2,2,5,5,2,5,5,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considering leaving,2,3,2,3,1,4,2,2,4,5,2,2,5,,
Yes,30-39,Netherlands,Female,Other (please specify),none,No,PhD or Doctorate student,,,,,,,,,,Left,4,4,5,4,5,3,3,3,5,5,4,4,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,4,1,1,3,1,3,1,4,1,1,4,,
Yes,30-39,Germany,Male,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,3,3,4,3,1,1,1,2,4,2,2,5,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considering leaving,5,5,2,5,1,5,4,2,5,3,2,5,5,,
Yes,30-39,United States of America,Female ,Teaching,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,4,4,3,5,3,1,4,5,3,4,4,,
Yes,40-49,Ireland,FEMALE,Humanities,,Yes,,Postdoctoral researcher,Assistant lecturer/Research associate,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,1,1,1,5,4,1,1,2,1,4,4,2,GENDER DISCRIMINATION IN CITATIONS AND PUBLISHING,
Yes,21-29,Netherlands,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,3,2,5,1,5,2,5,4,4,1,4,5,2,,"Please watch out for double barreled questions in the survey, they hamper validity!"
Yes,30-39,United States of America,Male,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Considering leaving,4,3,1,2,2,4,1,1,5,1,1,4,5,,
Yes,21-29,Germany,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,5,4,4,3,1,3,2,1,4,3,2,5,4,,
Yes,21-29,United States of America,F,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,3,3,3,2,1,2,1,1,5,5,3,5,5,,
Yes,21-29,Australia,Male,Other (please specify),engineering ,Yes,PhD or Doctorate student,,Assistant lecturer/Research associate,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,2,2,1,2,5,2,1,5,4,2,3,5,The questions are really bad designed. Please be careful with this. The lack of correct scales will invalidate this results. ,"Again, the questionnaire was poorly designed "
Yes,30-39,United States of America,M,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,4,4,2,2,1,4,1,1,3,2,1,5,3,,
Yes,21-29,Netherlands,Female (cisgender),Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,4,3,2,1,1,1,1,1,4,1,4,1,I feel my work isn't good enough (extremely relevant),
Yes,40-49,Albania,M,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Retired,4,1,1,0,1,3,4,1,5,1,1,5,5,No job!!! Why isn't this in he list?!?!?!?!?!?,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Planning on staying,3,3,1,1,3,3,1,3,4,1,1,1,2,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,PhD or Doctorate student,,Assistant lecturer/Research associate,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,3,5,3,4,5,5,5,4,5,3,1,5,3,Academic egos and bullying unless you do what they want ,
Yes,30-39,United States of America,Female,Other (please specify),Higher ed administration/student services,No,PhD or Doctorate student,,,,,,,,,,Left,2,4,3,3,1,2,1,1,5,3,3,4,2,I didn't know about tenure clocks when I started grad school; I had just wanted to stay an assistant professor and not worry about publishing so much.,
Yes,40-49,United States of America,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,4,4,4,3,2,4,2,4,5,3,4,5,5,,
Yes,30-39,Germany,male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,5,3,3,1,1,5,1,2,4,2,3,5,5,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,5,5,5,2,1,5,2,2,5,5,5,3,5,,
Yes,50-59,United States of America,Male,Government position,,Yes,,,,,,,,,,Administrator,Left,5,4,1,3,3,5,3,1,5,3,1,4,5,Relegated to technical support role in supposedly research position,
Yes,30-39,United States of America,Female,Other (please specify),Higher education administrator,No,PhD or Doctorate student,,,,,,,,,,Left,2,4,1,5,5,2,1,1,1,2,1,1,1,"One amendment--I would not say I was intimidated by the culture of criticism, I would say I was put off by it and felt that I did not need that kind of unnecessary stress in my life. I also note that the criticism culture is dominated and even shaped by the most societally privileged members of the field (white males from college-educated upper middle-class families). I come from a first-generation to college working class background. Why would I want to spend my life in uncivil intellectual tussles with those people. I left field just a few years ago and have never been happier.","As clarification, I work with mostly privileged people in my profession now. They are not in and of themselves the problem. It's social psych's culture of sparring in a rigged contest. I'm totally over it."
Yes,30-39,Netherlands,Male,Social sciences other than psychology,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,2,1,5,1,1,3,1,3,4,5,4,3,3,,
Yes,40-49,Colombia,female,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Left,5,2,4,3,5,4,4,1,4,1,1,4,3,,Would like to see results.
Yes,30-39,Finland,female,Social sciences other than psychology,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,2,1,2,1,1,2,1,2,2,3,2,1,3,I'm anxious about viva and other academic formalities and requirements (highly relevant),
Yes,40-49,Australia,Male,Social sciences other than psychology,,Yes,,,,,,,Professor/Distinguished professor,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,5,1,5,2,1,2,1,2,2,1,1,2,"Although work/life balance and culture of criticism are extremely relevant, other extremely relevant points for me are not mentioned in the above list. These include: (1) the rise of despicable social media platforms such as Real Peer Review that belittle a range of academic work and do a disservice to the academy. There should be internal/external debate about research methods and approaches, but it should take place in a sober and extensive peer discussion, not a platform that mocks and belittles real people for their research interests and efforts. Frankly, it's disgusting, and contributes to the diminishment of academic research in the public sphere (and if academics are responsible for RPR and the like, they should be ashamed of themselves). (2) the attacks on academic freedom by the media and the like (at least in my location, Australia, but I'm sure it happens elsewhere), which also diminishes academic research in the public sphere. These points indicate a lack of proper, sober public debate about the value of research, and contribute to its diminishment. These are the main reasons I'd consider leaving. Why stay put when so much of your time is taken with looking over shoulder from attacks from the public, the media, or worse, other academics anonymously belittling other people's work (and who should know better)?","I found your link via that disgusting platform Real Peer Review, which I see follows you. I don't know what your association with that shameful anti-academic platform is, but I hope you take a sober and critical view. These, again, are my comments ... Although work/life balance and culture of criticism are extremely relevant, other extremely relevant points for me are not mentioned in the above list. These include: (1) the rise of despicable social media platforms such as Real Peer Review that belittle a range of academic work and do a disservice to the academy. There should be internal/external debate about research methods and approaches, but it should take place in a sober and extensive peer discussion, not a platform that mocks and belittles real people for their research interests and efforts. Frankly, it's disgusting, and contributes to the diminishment of academic research in the public sphere (and if academics are responsible for RPR and the like, they should be ashamed of themselves). (2) the attacks on academic freedom by the media and the like (at least in my location, Australia, but I'm sure it happens elsewhere), which also diminishes academic research in the public sphere. These points indicate a lack of proper, sober public debate about the value of research, and contribute to its diminishment. These are the main reasons I'd consider leaving. Why stay put when so much of your time is taken with looking over shoulder from attacks from the public, the media, or worse, other academics anonymously belittling other people's work (and who should know better)?"
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Practicing psychologist,,,,,Senior lecturer/Associate professor,,,,Practicing psychologist,,Left,2,3,5,3,1,4,1,1,4,1,3,1,5,,
Yes,30-39,United States of America,Female+,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,1,1,1,1,5,1,1,1,1,1,1,1,1,,
Yes,40-49,France,Male,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considering leaving,5,5,2,1,4,4,1,2,3,2,1,1,5,,
Yes,40-49,France,M,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Planning on staying,4,3,5,5,2,4,3,2,4,5,5,4,5,,
Yes,30-39,Norway,Female,Government position,,No,PhD or Doctorate student,,,,,,,,,,Left,2,3,3,2,1,1,1,3,1,2,3,3,2,Learned about the replication veisiden after leaving. Main reason to leave was Feeling that I was not good enough - not being able to achieve the seemingly elegant and significant results I saw in most journals... My relevant reasons above are rather reasons to go back into academia (help change the field). ,
Yes,21-29,United States of America,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,2,3,1,1,3,1,2,3,5,5,2,3,,
Yes,40-49,United States of America,female,Other (please specify),Research Administration at a University,Yes,,Postdoctoral researcher,,,,,,,,,Left,4,4,1,4,1,4,1,1,4,1,1,5,5,,
Yes,21-29,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,4,2,4,2,2,1,5,5,4,5,3,,
Yes,21-29,United States of America,Female,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,4,4,5,2,1,5,2,5,4,3,1,1,3,I just don't think that I could 'make it' as a professor. I didn't have enough published studies to be competitive (extremely relevant). I also felt that the results we got from studies were often arbitrary - so whether you were published wasn't about how good your work was but if you got lucky with results that weren't ever consistent (highly relevant). ,Thanks for your investigation into this topic! I was in the field of social psychology if that matters. 
Yes,30-39,United States of America,male,Psychological science,,No,,Postdoctoral researcher,,,,,,,,,Left,2,4,1,1,1,5,1,2,3,1,2,5,5,,
Yes,30-39,Netherlands,Female,Teaching,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,1,1,2,1,3,1,1,1,1,1,2,3,2,,
Yes,40-49,Germany,male,Humanities,,Yes,,,Assistant lecturer/Research associate,,,,,,,,Currently in but planning on leaving,1,1,5,3,1,2,1,4,2,3,5,1,1,,
Yes,30-39,United States of America,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,2,3,2,3,4,3,2,5,3,3,4,4,,
Yes,30-39,Canada,female,Industry,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,2,4,2,2,1,1,1,2,3,2,2,4,4,Job market is too competitive. ,
Yes,30-39,United States of America,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Planning on staying,3,2,1,4,1,1,1,1,2,1,1,3,2,,
Yes,50-59,United States of America,Female,Other (please specify),Research management,No,PhD or Doctorate student,,,,,,,,,,Left,3,1,1,1,1,1,2,1,1,1,1,3,5,,This is not a very good survey
Yes,30-39,United States of America,Female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,4,2,2,4,3,1,1,1,2,1,3,4,,
